"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.796099274457735,0.850697939053946,0.796160069823378,0.8061887154869,0.842176023738718,0.852707652742482,0.824631127205348,0.835225059658043,0.83757848139392,0.845601227447995,0.862856143916825
"breast",0.93102313138505,0.930803407125221,0.930826666513392,0.932407647707177,0.92687426165626,0.921449717729444,0.926549936965269,0.928077699614001,0.934933412484867,0.935049400458308,0.936665681776814
"breastcancer",0.671530842179467,0.663587912775053,0.653560276661031,0.651481522818431,0.668743933549163,0.667955317995736,0.67298622285933,0.678808943888135,0.672313348769405,0.656520807961194,0.643420416904631
"diabetes",0.69176385385952,0.700988995638101,0.646979885492613,0.652293715592315,0.703318074454044,0.701141000405752,0.709629490860067,0.705648349035834,0.708715114494742,0.695568096926503,0.715710911188084
"heart",0.749192172799583,0.749984030235385,0.649043800280888,0.63248273265839,0.742998041820951,0.715285122604088,0.741919746402403,0.749025589532828,0.74487594249462,0.738635436938612,0.732657252613541
"hepatitis",0.757664774715213,0.756687846949492,0.760570310489851,0.750204878391085,0.805377000713208,0.804605510150769,0.790614678092189,0.81054559957145,0.812710345386422,0.783584159822468,0.746951833742551
"ionosphere",0.806650342116249,0.865015350584977,0.865216080641859,0.827450454364755,0.857763300044014,0.77340395071833,0.895615732889502,0.861952055763517,0.870905329665578,0.867112324143748,0.839602315922045
"labor",0.698412698412698,0.772810111699001,0.877083333333333,0.833127572016461,0.760912698412698,0.791953262786596,0.828497942386831,0.799051878061166,0.811056494282301,0.747392290249433,0.779850088183421
"liver-disorders",0.586610784655125,0.574257738405893,0.587365183316105,0.592828098501054,0.535136345406178,0.53154154575957,0.654320756639994,0.60171878736817,0.608862226943094,0.559497376027298,0.542134770468765
"mushroom",0.999261451402683,0.999261451402683,0.991133106346665,0.990270460050361,0.999014707971514,0.999015186096752,1,1,1,0.999261276444911,0.998522665904875
"sick",0.95623306617749,0.976915618414895,0.978086499823337,0.978548910945101,0.97770637421626,0.978255131418065,0.978367024938319,0.978310615393095,0.978316100262803,0.977859189553317,0.977917332465621
"sonar",0.622659815426991,0.595601314239493,0.581179001845627,0.590179433510913,0.623561650645511,0.587092076201281,0.612277435243677,0.630816239189237,0.645599111065051,0.672822188403133,0.602728183990322
"tic-tac-toe",0.827537374679114,0.875472089096962,0.780604333998742,0.777972781020458,0.809503875495518,0.783829834225543,0.924910552434406,0.884692809533611,0.906557043766466,0.820495442600208,0.834163713702713
"vote",0.862346597906466,0.947414393444772,0.921630828565011,0.949753070100874,0.942856214016005,0.952486033138183,0.956352145669006,0.955438562079861,0.953605888419403,0.942891059962206,0.952317299471696
"Average",0.782641870012385,0.804249871361848,0.787102812652274,0.783227856654591,0.799710178724289,0.790051524426614,0.822619485184739,0.815665156334925,0.820430631387762,0.803020734067095,0.797535615017993
"RankSum",103,87,110,107,96,101,50,53,40,86,90
