"","RuleMatchCount-PART x RuleMatchWeighted-PART","RuleMatchCount-PART x RuleMatchWeighted-PART p-value","RuleMatchCount-PART x RuleMatchCount-J48","RuleMatchCount-PART x RuleMatchCount-J48 p-value","RuleMatchCount-PART x RuleMatchWeighted-J48","RuleMatchCount-PART x RuleMatchWeighted-J48 p-value","RuleMatchCount-PART x RuleMatchCount-DT","RuleMatchCount-PART x RuleMatchCount-DT p-value","RuleMatchCount-PART x RuleMatchWeighted-DT","RuleMatchCount-PART x RuleMatchWeighted-DT p-value","RuleMatchCount-PART x PureJ48","RuleMatchCount-PART x PureJ48 p-value","RuleMatchCount-PART x PureDT","RuleMatchCount-PART x PureDT p-value","RuleMatchCount-PART x PurePART","RuleMatchCount-PART x PurePART p-value","RuleMatchCount-PART x RuleMatchCount-Rand","RuleMatchCount-PART x RuleMatchCount-Rand p-value","RuleMatchCount-PART x RuleMatchWeighted-Rand","RuleMatchCount-PART x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-PART x RuleMatchCount-J48","RuleMatchWeighted-PART x RuleMatchCount-J48 p-value","RuleMatchWeighted-PART x RuleMatchWeighted-J48","RuleMatchWeighted-PART x RuleMatchWeighted-J48 p-value","RuleMatchWeighted-PART x RuleMatchCount-DT","RuleMatchWeighted-PART x RuleMatchCount-DT p-value","RuleMatchWeighted-PART x RuleMatchWeighted-DT","RuleMatchWeighted-PART x RuleMatchWeighted-DT p-value","RuleMatchWeighted-PART x PureJ48","RuleMatchWeighted-PART x PureJ48 p-value","RuleMatchWeighted-PART x PureDT","RuleMatchWeighted-PART x PureDT p-value","RuleMatchWeighted-PART x PurePART","RuleMatchWeighted-PART x PurePART p-value","RuleMatchWeighted-PART x RuleMatchCount-Rand","RuleMatchWeighted-PART x RuleMatchCount-Rand p-value","RuleMatchWeighted-PART x RuleMatchWeighted-Rand","RuleMatchWeighted-PART x RuleMatchWeighted-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-J48","RuleMatchCount-J48 x RuleMatchWeighted-J48 p-value","RuleMatchCount-J48 x RuleMatchCount-DT","RuleMatchCount-J48 x RuleMatchCount-DT p-value","RuleMatchCount-J48 x RuleMatchWeighted-DT","RuleMatchCount-J48 x RuleMatchWeighted-DT p-value","RuleMatchCount-J48 x PureJ48","RuleMatchCount-J48 x PureJ48 p-value","RuleMatchCount-J48 x PureDT","RuleMatchCount-J48 x PureDT p-value","RuleMatchCount-J48 x PurePART","RuleMatchCount-J48 x PurePART p-value","RuleMatchCount-J48 x RuleMatchCount-Rand","RuleMatchCount-J48 x RuleMatchCount-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-Rand","RuleMatchCount-J48 x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-J48 x RuleMatchCount-DT","RuleMatchWeighted-J48 x RuleMatchCount-DT p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-DT","RuleMatchWeighted-J48 x RuleMatchWeighted-DT p-value","RuleMatchWeighted-J48 x PureJ48","RuleMatchWeighted-J48 x PureJ48 p-value","RuleMatchWeighted-J48 x PureDT","RuleMatchWeighted-J48 x PureDT p-value","RuleMatchWeighted-J48 x PurePART","RuleMatchWeighted-J48 x PurePART p-value","RuleMatchWeighted-J48 x RuleMatchCount-Rand","RuleMatchWeighted-J48 x RuleMatchCount-Rand p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-DT","RuleMatchCount-DT x RuleMatchWeighted-DT p-value","RuleMatchCount-DT x PureJ48","RuleMatchCount-DT x PureJ48 p-value","RuleMatchCount-DT x PureDT","RuleMatchCount-DT x PureDT p-value","RuleMatchCount-DT x PurePART","RuleMatchCount-DT x PurePART p-value","RuleMatchCount-DT x RuleMatchCount-Rand","RuleMatchCount-DT x RuleMatchCount-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-Rand","RuleMatchCount-DT x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-DT x PureJ48","RuleMatchWeighted-DT x PureJ48 p-value","RuleMatchWeighted-DT x PureDT","RuleMatchWeighted-DT x PureDT p-value","RuleMatchWeighted-DT x PurePART","RuleMatchWeighted-DT x PurePART p-value","RuleMatchWeighted-DT x RuleMatchCount-Rand","RuleMatchWeighted-DT x RuleMatchCount-Rand p-value","RuleMatchWeighted-DT x RuleMatchWeighted-Rand","RuleMatchWeighted-DT x RuleMatchWeighted-Rand p-value","PureJ48 x PureDT","PureJ48 x PureDT p-value","PureJ48 x PurePART","PureJ48 x PurePART p-value","PureJ48 x RuleMatchCount-Rand","PureJ48 x RuleMatchCount-Rand p-value","PureJ48 x RuleMatchWeighted-Rand","PureJ48 x RuleMatchWeighted-Rand p-value","PureDT x PurePART","PureDT x PurePART p-value","PureDT x RuleMatchCount-Rand","PureDT x RuleMatchCount-Rand p-value","PureDT x RuleMatchWeighted-Rand","PureDT x RuleMatchWeighted-Rand p-value","PurePART x RuleMatchCount-Rand","PurePART x RuleMatchCount-Rand p-value","PurePART x RuleMatchWeighted-Rand","PurePART x RuleMatchWeighted-Rand p-value","RuleMatchCount-Rand x RuleMatchWeighted-Rand","RuleMatchCount-Rand x RuleMatchWeighted-Rand p-value"
"Accuracy","< (03x09)","0.0167287003897047","t (07x07)","0.949944493522","t (07x07)","0.801732212656982","< (06x08)","0.116551957746077","t (07x07)","0.258486052233535","< (04x10)","0.0238241460165172","< (03x11)","0.00574194154874128","< (01x13)","0.00258447894760353","< (05x09)","0.0596604735623143","< (04x10)","0.0383005285343547","> (08x06)","0.116551957746077","> (09x05)","0.187401192001721","> (09x05)","0.346373280006178","t (07x07)","0.660346099350424","< (05x09)","0.167253563317042","< (06x08)","0.209286554781767","< (04x10)","0.0900820575789648","> (09x05)","0.330416532610753","< (06x07)","0.833935414088552","< (05x08)","0.401678166469773","< (04x10)","0.0900820575789648","< (06x08)","0.379471360411207","< (01x12)","0.00265508212648921","< (03x11)","0.0143538943534938","< (01x13)","0.00317265532163019","< (03x11)","0.0596604735623143","< (05x09)","0.0900820575789648","< (05x09)","0.167253563317042","< (06x08)","0.451258974150342","< (01x12)","0.00265508212648921","< (02x12)","0.0143538943534938","< (01x13)","0.00317265532163019","< (03x11)","0.0900820575789648","< (03x11)","0.0516462183078041","t (07x07)","0.660346099350424","< (05x09)","0.346373280006178","< (04x10)","0.0787178058337811","< (04x10)","0.0596604735623143","< (06x08)","0.949944493522","t (07x07)","0.530158014945287","< (03x11)","0.102639775576908","< (03x11)","0.0383005285343547","< (03x11)","0.0328100197002589","t (07x07)","0.753610350301361","< (05x08)","0.327876933144661","< (05x08)","0.888840680809476","< (05x08)","1","> (09x04)","0.208412803684149","> (10x04)","0.167253563317042","< (05x08)","0.184235113180511","> (10x04)","0.102639775576908","> (11x03)","0.102639775576908","> (11x03)","0.0445533169117585","> (10x04)","0.0900820575789647","t (07x07)","0.70642711574737"
"PrecisionWeightedAvg","< (06x07)","0.327876933144661","> (08x06)","0.379471360411207","> (08x06)","0.489853845560897","t (07x07)","0.379471360411207","t (07x07)","0.801732212656982","< (05x09)","0.116551957746077","< (05x09)","0.167253563317042","< (03x11)","0.0596604735623143","< (05x09)","0.187401192001721","t (07x07)","1","> (09x05)","0.102639775576908","> (08x06)","0.0900820575789647","> (09x05)","0.572081696065726","t (07x07)","0.850618403625297","< (06x08)","0.315174424989568","> (08x06)","0.530158014945287","< (06x08)","0.753610350301361","t (07x07)","0.530158014945287","> (08x06)","0.379471360411207","t (07x07)","0.753610350301361","< (05x09)","0.0900820575789648","< (05x09)","0.285881444542875","< (03x11)","0.0143538943534938","< (04x10)","0.0516462183078041","< (03x11)","0.0383005285343547","< (04x10)","0.0900820575789648","< (05x09)","0.209286554781767","< (04x10)","0.0383005285343547","< (04x10)","0.131904094905011","< (02x11)","0.00518313292290661","< (04x10)","0.0445533169117585","< (03x11)","0.0143538943534938","< (04x10)","0.0445533169117585","< (04x10)","0.0900820575789648","< (06x08)","1","< (06x08)","0.753610350301361","< (05x09)","0.801732212656982","< (06x08)","0.801732212656982","< (06x08)","0.615518503675301","< (06x08)","0.660346099350424","< (06x08)","0.572081696065726","< (05x09)","0.489853845560898","< (06x08)","0.572081696065726","< (06x08)","0.660346099350424","> (08x06)","0.900085797418725","> (08x05)","0.2634941841412","> (08x05)","0.401678166469773","> (08x06)","0.572081696065726","> (10x04)","0.167253563317042","< (03x10)","0.107973208797929","< (05x09)","0.850618403625297","> (09x05)","0.489853845560897","< (05x09)","1","> (10x04)","0.258486052233535","> (10x04)","0.285881444542875"
"RecallWeightedAvg","< (03x09)","0.0167287003897047","t (07x07)","0.949944493522","t (07x07)","0.801732212656982","< (06x08)","0.116551957746077","t (07x07)","0.258486052233535","< (04x10)","0.0238241460165172","< (03x11)","0.00574194154874128","< (01x13)","0.00258447894760353","< (05x09)","0.0596604735623143","< (04x10)","0.0383005285343547","> (08x06)","0.116551957746077","> (09x05)","0.187401192001721","> (09x05)","0.346373280006178","t (07x07)","0.660346099350424","< (05x09)","0.167253563317042","< (06x08)","0.209286554781767","< (04x10)","0.0900820575789648","> (09x05)","0.315174424989568","< (06x07)","0.833935414088552","< (05x08)","0.401678166469773","< (04x10)","0.0900820575789648","< (06x08)","0.379471360411207","< (01x12)","0.00265508212648921","< (03x11)","0.0131278502941109","< (01x13)","0.00317265532163019","< (03x11)","0.0596604735623143","< (05x09)","0.0900820575789648","< (05x09)","0.167253563317042","< (06x08)","0.451258974150342","< (01x12)","0.00265508212648921","< (02x12)","0.0143538943534938","< (01x13)","0.00317265532163019","< (03x11)","0.0900820575789648","< (03x11)","0.0516462183078041","t (07x07)","0.660346099350424","< (05x09)","0.346373280006178","< (04x10)","0.0787915035643527","< (04x10)","0.0596604735623143","< (06x08)","0.949944493522","t (07x07)","0.530158014945287","< (03x11)","0.102639775576908","< (03x11)","0.0383005285343547","< (03x11)","0.0328100197002589","t (07x07)","0.753610350301361","< (05x08)","0.327876933144661","< (05x08)","0.888840680809476","< (05x08)","1","> (09x04)","0.208412803684149","> (10x04)","0.167253563317042","< (05x08)","0.184235113180511","> (10x04)","0.102639775576908","> (11x03)","0.102639775576908","> (11x03)","0.0445533169117585","> (10x04)","0.0900820575789647","t (07x07)","0.70642711574737"
"FMeasureWeightedAvg","< (05x08)","0.107973208797929","t (07x07)","1","t (07x07)","0.850618403625297","< (06x08)","0.209286554781767","> (08x06)","0.801732212656982","< (03x11)","0.0120369481070948","< (02x12)","0.00258447894760353","< (01x13)","0.00258447894760353","< (05x09)","0.0900820575789648","< (06x08)","0.315174424989568","> (08x06)","0.187401192001721","> (09x05)","0.102639775576908","> (09x05)","0.285881444542875","t (07x07)","0.451258974150342","< (03x11)","0.0238241460165172","< (04x10)","0.0516462183078041","< (02x12)","0.0143538943534938","> (09x05)","0.285881444542875","t (07x07)","0.346373280006178","t (07x07)","0.70642711574737","< (05x09)","0.187401192001721","< (04x10)","0.530158014945287","< (02x12)","0.0120369481070948","< (03x11)","0.0280078166969702","< (01x13)","0.0120369481070948","< (03x11)","0.0686801607303541","< (06x08)","0.451258974150342","< (05x09)","0.187401192001721","< (06x08)","0.530158014945287","< (03x11)","0.0038804738522969","< (03x11)","0.0100578003666","< (02x12)","0.00574194154874128","< (04x10)","0.0787915035643527","< (05x09)","0.131904094905011","> (09x05)","0.209286554781767","< (05x09)","0.187401192001721","< (01x13)","0.00574194154874128","< (01x13)","0.00317265532163019","< (05x09)","0.615518503675301","< (06x08)","0.949944493522","< (02x12)","0.0280078166969702","< (01x13)","0.00694669816590924","< (01x13)","0.00574194154874128","t (07x07)","0.451258974150342","< (06x08)","0.315174424989568","> (07x06)","0.624700399444191","> (08x05)","0.726767806199101","> (11x03)","0.0900820575789647","> (11x03)","0.0445533169117585","< (03x10)","0.0360316862182336","> (10x04)","0.0787915035643527","> (11x03)","0.032810019700259","> (11x03)","0.0280078166969702","> (11x03)","0.0238241460165172","t (07x07)","0.70642711574737"
"Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wins c1","RuleMatchCount-PART","0","RuleMatchCount-PART","1","RuleMatchCount-PART","1","RuleMatchCount-PART","0","RuleMatchCount-PART","1","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","3","RuleMatchWeighted-PART","1","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","1","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","1","PureJ48","2","PureJ48","2","PureJ48","4","PureJ48","4","PureDT","0","PureDT","3","PureDT","4","PurePART","3","PurePART","4","RuleMatchCount-Rand","1"
"wins c2","RuleMatchWeighted-PART","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","3","RuleMatchWeighted-DT","0","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","PureJ48","4","PureDT","3","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","2","RuleMatchWeighted-J48","2","RuleMatchCount-DT","4","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-DT","4","RuleMatchWeighted-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchWeighted-DT","1","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","2","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","3","PureDT","2","PurePART","2","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","4","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
"ties","Tie","0","Tie","3","Tie","3","Tie","1","Tie","3","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","0","Tie","0","Tie","0","Tie","4","Tie","0","Tie","0","Tie","0","Tie","1","Tie","1","Tie","2","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","2","Tie","0","Tie","0","Tie","0","Tie","0","Tie","2","Tie","0","Tie","0","Tie","0","Tie","3","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","3"
"wins c1 sig","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","RuleMatchWeighted-DT","0","PureJ48","0","PureJ48","0","PureJ48","0","PureJ48","1","PureDT","0","PureDT","0","PureDT","1","PurePART","3","PurePART","1","RuleMatchCount-Rand","0"
"win c2 sig","RuleMatchWeighted-PART","2","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","PureJ48","3","PureDT","3","PurePART","3","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","2","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","PureJ48","1","PureDT","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchWeighted-DT","0","PureJ48","4","PureDT","3","PurePART","4","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-DT","1","RuleMatchWeighted-DT","0","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","RuleMatchWeighted-DT","0","PureJ48","0","PureDT","1","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureJ48","1","PureDT","3","PurePART","3","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
