"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.817042479951403,0.852272578177805,0.838930941993174,0.852483405984191,0.846899549654596,0.854124763702836,0.824631127205348,0.835225059658043,0.83757848139392,0.845032219151924,0.858540735654056
"breast",0.949455430416832,0.937876175571627,0.938253298945197,0.926311796215139,0.927249755641615,0.924255171246404,0.926549936965269,0.928077699614001,0.934933412484867,0.939773461252883,0.929123695059451
"breastcancer",0.658498886119739,0.6589589205706,0.636767379518533,0.63561622771102,0.658302971239325,0.669197116051467,0.67298622285933,0.678808943888135,0.672313348769405,0.655180940402202,0.672253331292891
"diabetes",0.711924702684352,0.719459058281229,0.669003471975114,0.684169945815786,0.70570015290468,0.696700506490805,0.709629490860067,0.705648349035834,0.708715114494742,0.718355150553315,0.701734229807754
"heart",0.740768266346276,0.737575880054683,0.69627662518533,0.703139509624959,0.744488021982275,0.734675231818132,0.741919746402403,0.749025589532828,0.74487594249462,0.755580430570751,0.747787369649349
"hepatitis",0.773724547538205,0.755998131291149,0.799128847963195,0.818524685338326,0.818771799168542,0.80202878241384,0.790614678092189,0.81054559957145,0.812710345386422,0.798139614447876,0.77043378879892
"ionosphere",0.883595302271799,0.885086869642176,0.850539892327568,0.823202727865537,0.826684064573044,0.743993424632857,0.895615732889502,0.861952055763517,0.870905329665578,0.86923349984985,0.818449173975602
"labor",0.557319223985891,0.756437389770723,0.859259259259259,0.836111111111111,0.674153439153439,0.696130952380952,0.828497942386831,0.799051878061166,0.811056494282301,0.726873897707231,0.83015873015873
"liver-disorders",0.61754624634797,0.622241826830845,0.560568944749922,0.558982240114678,0.526288700873087,0.524303969948471,0.654320756639994,0.60171878736817,0.608862226943094,0.562779279633232,0.535939144181708
"mushroom",0.998399347451327,0.999015141500983,0.993596236223878,0.993226912331693,0.997661027848069,0.997661405928355,1,1,1,0.998769000493466,0.997907366059533
"sick",0.968791951651505,0.977200897858228,0.976938265998765,0.977082557332567,0.977211400277215,0.978056193302015,0.978367024938319,0.978310615393095,0.978316100262803,0.978458108278849,0.978402659135965
"sonar",0.630085470814535,0.610592769963874,0.592183401148117,0.553478267131454,0.668967293183242,0.592956368155664,0.612277435243677,0.630816239189237,0.645599111065051,0.633192703339695,0.633450929927955
"tic-tac-toe",0.845476579080194,0.89129982899896,0.818152886804391,0.804947983028184,0.814525869709043,0.767962143710163,0.924910552434406,0.884692809533611,0.906557043766466,0.872369489647474,0.825433079955477
"vote",0.829618434171634,0.954485506925309,0.945183168302149,0.947298893465175,0.954554544737241,0.954582722927697,0.956352145669006,0.955438562079861,0.953605888419403,0.949968456998053,0.952304049220452
"Average",0.784446204916547,0.811321498245585,0.798198758599614,0.793898304504987,0.795818470781815,0.78118776805069,0.822619485184739,0.815665156334925,0.820430631387762,0.807407589451914,0.803708448776989
"RankSum",95,73,111,115,91,109,59,65,57,69,80
