"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.78780911580374,0.8423369561125,0.800984244213741,0.809607971601401,0.841497367029164,0.848032800812652,0.829682360496709,0.841786289207333,0.842353042105742,0.809655356338171,0.853271948139778
"breast",0.934367335239074,0.933367669694679,0.916194117878292,0.908998304247737,0.931964596853848,0.938707285858961,0.928314896474357,0.929914472994754,0.936385113588895,0.938627648668602,0.939096100228201
"breastcancer",0.660543425885755,0.650701298926451,0.673309714300478,0.668889647013228,0.68822267132612,0.710185074610362,0.685151994135181,0.686411294753692,0.678174954934517,0.670954196596428,0.699532799534299
"diabetes",0.706824044595612,0.727442930808077,0.662932372813213,0.664000715799482,0.724851867042601,0.732045179683654,0.711590557564138,0.708553898154895,0.710302332197507,0.711367718322438,0.70969592375569
"heart",0.798210513766069,0.792489033600145,0.68810382216428,0.677769485718832,0.757671536553115,0.740529511911091,0.759236063803057,0.763969620182772,0.759661775729759,0.779831134001241,0.758279449006573
"hepatitis",0.80578125,0.775796512515262,0.763072760572761,0.764193029193029,0.825058760683761,0.822117928367928,0.805138125763126,0.825929268081161,0.828794072635033,0.803406335177169,0.758725909507159
"ionosphere",0.853748519607552,0.87817170451381,0.855213160281358,0.858007141300339,0.855927336420194,0.857209320842905,0.902319865418616,0.86706197456468,0.87461355763394,0.878396673971051,0.871729894353047
"labor",0.767460317460317,0.7875,0.913194444444444,0.883888888888889,0.849206349206349,0.881481481481482,0.870987654320988,0.838280423280423,0.844652777777778,0.848888888888889,0.934375
"liver-disorders",0.553236496386012,0.55872268633954,0.578753570939685,0.58627848105456,0.564356893179757,0.570767757087339,0.657924568748944,0.61637351882542,0.616490959117735,0.571343247825446,0.52640399926659
"mushroom",0.996885808074635,0.998534464351259,0.990727134770513,0.990015877601999,0.999018878929448,0.999262989836166,1,1,1,0.998416656430165,0.999018051876323
"sick",0.964748147866736,0.978318307405186,0.978248178661069,0.979305701170886,0.977204589785304,0.978891867993308,0.978536512350715,0.978394563664711,0.97842982488855,0.975085125032784,0.97736419386577
"sonar",0.644251042167709,0.645598980332874,0.645630665630666,0.607789079112608,0.660745331349323,0.660659964840637,0.648722741038918,0.645820938320938,0.659604862357352,0.602375907822336,0.629519332674795
"tic-tac-toe",0.812679204602368,0.87912820583529,0.78418083241674,0.783941311661311,0.786125297329493,0.768187000822635,0.925782394566038,0.888471528904474,0.908803467742711,0.807027408801187,0.827627275380936
"vote",0.887460511453307,0.954869009732801,0.927105544649149,0.947900456724694,0.949793801261672,0.952787359272743,0.958654624818831,0.957016533738377,0.95544506170359,0.93755462633191,0.94773416022304
"Average",0.798143266636349,0.814498411440562,0.798403611695456,0.795041863649214,0.815117519782154,0.81863325167299,0.833003025678544,0.824856023190974,0.828122271600936,0.809495066014844,0.816598145558014
"RankSum",118,83,117,112,82,62,55,66,53,94,82
