"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",78.2608695652174,83.6231884057971,78.5507246376812,79.5652173913043,83.1884057971015,82.463768115942,83.4782608695652,83.719806763285,84.0579710144928,84.0579710144928
"breast",92.9855072463768,93.2691511387164,91.1304347826087,90.2712215320911,93.128364389234,92.703933747412,92.8426501035197,93.5093167701863,93.6997929606625,93.128364389234
"breastcancer",67.0935960591133,68.5098522167488,67.1182266009852,68.14039408867,69.9261083743842,68.1896551724138,70.2832512315271,69.5771756978654,67.8448275862069,69.5566502463054
"diabetes",70.8526999316473,72.4196855775803,67.9801777170198,68.1117566643882,72.406015037594,71.2303485987697,71.61995898838,71.6228070175439,72.0112781954887,69.6804511278196
"heart",72.5925925925926,74.8148148148148,62.962962962963,61.8518518518519,74.0740740740741,74.0740740740741,74.8148148148148,74.320987654321,74.8148148148148,72.962962962963
"hepatitis",73.7083333333333,75.6666666666667,76.25,76.875,80.7916666666667,80.1666666666667,82.0416666666667,82.0138888888889,75.0416666666667,76.2916666666667
"ionosphere",78.6031746031746,86.8809523809524,83.2301587301587,82.6587301587302,84.3095238095238,89.7380952380952,86.4603174603175,87.2619047619048,84.8888888888889,86.6031746031746
"labor",60.3333333333333,72.6666666666667,82.6666666666667,84.3333333333333,74,82.6666666666667,79.3333333333333,81,80.6666666666667,77.6666666666667
"liver-disorders",54.453781512605,55.8991596638655,58.2352941176471,59.109243697479,56.8067226890756,65.4957983193277,61.5882352941176,61.7058823529412,55.0420168067227,59.3865546218487
"mushroom",99.6801513581638,99.852353080181,99.0522846115161,98.9784232817698,99.9014778325123,100,100,100,99.901492980447,99.8031374402414
"sick",95.546503305124,97.7998821102269,97.799811937743,97.879317362076,97.7734270837719,97.879177017108,97.905702216047,97.8967669197554,96.3409961685824,97.6409414340449
"sonar",61.1904761904762,60.6904761904762,60.5952380952381,59.6190476190476,63.0952380952381,62.4285714285714,63,64.4444444444444,70.2857142857143,60.7619047619048
"tic-tac-toe",77.9649122807018,87.5789473684211,76.4177631578947,76.4199561403509,75.375,92.4879385964912,88.4577850877193,90.6337719298246,76.5065789473684,84.3475877192982
"vote",85.5179704016913,95.1849894291755,92.1934460887949,94.5031712473573,94.7463002114165,95.6501057082452,95.5311839323467,95.3453136011276,94.492600422833,94.7251585623679
"Average",76.3417072652536,80.3469132650207,78.1559421504941,78.4511903120321,79.9658802900423,82.5124856678417,81.9540828570254,82.3608619144349,80.399664743254,80.4723708726449
"RankSum",121,70,111,102,74,53,47,37,73,78
