"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",0.824380797234405,0.845182131268752,0.841709403535284,0.852446378385323,0.845271017132427,0.857018424784042,0.824631127205348,0.835225059658043,0.83757848139392,0.852703101489822,0.858469829972919
"breast",0.943613635700743,0.940567623606604,0.938200545592031,0.93643747597697,0.922909572816532,0.922673606469717,0.926549936965269,0.928077699614001,0.934933412484867,0.948425168603928,0.93362538104038
"breastcancer",0.659018719464616,0.658253786264712,0.632523281703114,0.64258491711979,0.668203620029948,0.665232423822424,0.67298622285933,0.678808943888135,0.672313348769405,0.659644593061088,0.669384244829949
"diabetes",0.715682192855643,0.720917358313068,0.677803718968825,0.683230940953467,0.710391898978031,0.693083292437583,0.709629490860067,0.705648349035834,0.708715114494742,0.731197855932137,0.703066588895293
"heart",0.751471448612107,0.754010128645737,0.69570821116002,0.699669213709595,0.741296876814118,0.731394397709711,0.741919746402403,0.749025589532828,0.74487594249462,0.739131975083389,0.771165552483504
"hepatitis",0.774411160978442,0.764784248443157,0.787460824628506,0.818524685338326,0.818771799168542,0.785957353842411,0.790614678092189,0.81054559957145,0.812710345386422,0.804932523208748,0.767396592119482
"ionosphere",0.87302754145122,0.879245717270034,0.842165588784778,0.806232425248485,0.819493909005377,0.740207521302004,0.895615732889502,0.861952055763517,0.870905329665578,0.871421464220884,0.789781868390104
"labor",0.557319223985891,0.756437389770723,0.859259259259259,0.836111111111111,0.638988095238095,0.696130952380952,0.828497942386831,0.799051878061166,0.811056494282301,0.811816578483245,0.701322751322751
"liver-disorders",0.617475122315021,0.614977622897608,0.560374332529293,0.564615395962316,0.521088719897647,0.528456883396802,0.654320756639994,0.60171878736817,0.608862226943094,0.582805315753036,0.5371960816554
"mushroom",0.998399347451327,0.999015141500983,0.993472944957309,0.993226912331693,0.998030331509088,0.997661405928355,1,1,1,0.998892181515436,0.998522547951125
"sick",0.96809780655754,0.977496071347359,0.976626928603711,0.976795598670461,0.976970182985497,0.978056193302015,0.978367024938319,0.978310615393095,0.978316100262803,0.978427462319378,0.977893652786497
"sonar",0.625618055565116,0.614841469537449,0.601924213368805,0.580863804124491,0.6693966071277,0.610158771663486,0.612277435243677,0.630816239189237,0.645599111065051,0.636258802361014,0.606040911230879
"tic-tac-toe",0.837891635320427,0.873993691551643,0.80597339428041,0.806728278842973,0.806260295897397,0.765718231225233,0.924910552434406,0.884692809533611,0.906557043766466,0.861725541362671,0.861041456164773
"vote",0.834450125036157,0.952206833218064,0.945225042264289,0.947535635889418,0.954554544737241,0.954582722927697,0.956352145669006,0.955438562079861,0.953605888419403,0.947645396558147,0.954582722927697
"Average",0.784346915180618,0.810852086688278,0.797030549259688,0.796071626690316,0.792259105095546,0.780452298656602,0.822619485184739,0.815665156334925,0.820430631387762,0.816073425710923,0.794963584412197
"RankSum",93,73,117,107,92,111,56,65,60,61,88
