"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","RuleMatchWeighted-DT","PureJ48","PureDT","PurePART","RuleMatchCount-Rand","RuleMatchWeighted-Rand"
"australian",82.463768115942,84.4927536231884,84.2028985507246,85.2173913043478,84.4927536231884,85.6521739130435,82.463768115942,83.4782608695652,83.719806763285,85.2173913043478,85.7971014492754
"breast",94.416149068323,94.1304347826087,93.8405797101449,93.6997929606625,92.2691511387164,92.2691511387164,92.703933747412,92.8426501035197,93.5093167701863,94.8426501035197,93.4120082815735
"breastcancer",70.5911330049261,70.9113300492611,64.9261083743842,67.4384236453202,71.0098522167488,72.0689655172414,68.1896551724138,70.2832512315271,69.5771756978654,70.948275862069,72.0197044334975
"diabetes",72.147983595352,73.0639097744361,69.1507177033493,70.4511278195489,72.9306220095694,72.9323308270677,71.2303485987697,71.61995898838,71.6228070175439,73.9695830485304,73.1869446343131
"heart",75.1851851851852,75.5555555555556,69.6296296296296,70,74.0740740740741,72.962962962963,74.0740740740741,74.8148148148148,74.320987654321,74.0740740740741,77.037037037037
"hepatitis",76.9583333333333,76.4166666666667,78.2083333333333,80.125,81.4166666666667,79.4583333333333,80.1666666666667,82.0416666666667,82.0138888888889,79.5416666666667,76.375
"ionosphere",88.0238095238095,88.6031746031746,84.9126984126984,82.6428571428571,82.8809523809524,78.031746031746,89.7380952380952,86.4603174603175,87.2619047619048,87.7460317460317,81.4761904761905
"labor",56.1111111111111,76.6666666666667,85,82.2222222222222,66.6666666666667,70.5555555555556,82.6666666666667,79.3333333333333,81,81.1111111111111,70
"liver-disorders",61.6974789915966,61.7058823529412,55.8991596638655,56.4705882352941,55.672268907563,58.8487394957983,65.4957983193277,61.5882352941176,61.7058823529412,59.6974789915966,59.6974789915966
"mushroom",99.8399469216367,99.9015232763165,99.3476541908276,99.3230539448252,99.8030617005678,99.7661461836293,100,100,100,99.8892231533153,99.8522621925727
"sick",96.5532679325783,97.7205170308619,97.667115770564,97.667115770564,97.72030651341,97.7734270837719,97.879177017108,97.905702216047,97.8967669197554,97.852792163137,97.773286738804
"sonar",63.1190476190476,61.6904761904762,60.1904761904762,60.1428571428571,66.9523809523809,63.9761904761905,62.4285714285714,63,64.4444444444444,63.5952380952381,62.0952380952381
"tic-tac-toe",84.452850877193,87.7850877192982,80.9989035087719,81.422149122807,80.4736842105263,77.4627192982456,92.4879385964912,88.4577850877193,90.6337719298246,86.4331140350877,86.4364035087719
"vote",83.5993657505285,95.1902748414376,94.5031712473573,94.73044397463,95.4281183932347,95.4175475687104,95.6501057082452,95.5311839323467,95.3453136011276,94.73044397463,95.4175475687104
"Average",78.9399593593259,81.7024466523492,79.8912461632948,80.1109302347097,80.1278971038761,79.7982849561438,82.5124856678417,81.9540828570254,82.3608619144349,82.1177910235254,80.7554431005415
"RankSum",95,70,118,111,92,92,66,68,62,63,78
