"","3","5","10","20","30","PureJ48"
"australian",0.809607971601401,0.824389347272956,0.836219726293308,0.859129248241556,0.859134297091028,0.829682360496709
"breast",0.908998304247737,0.933945199292707,0.937974393273281,0.929610936276475,0.938999540061873,0.928314896474357
"breastcancer",0.668889647013228,0.653131696711453,0.644127329192547,0.639518658061849,0.655382960604455,0.685151994135181
"diabetes",0.664000715799482,0.674602175824793,0.664029598735963,0.703891101160706,0.702081094023647,0.711590557564138
"heart",0.677769485718832,0.690423820007153,0.722816000505629,0.73651000748223,0.730956872648049,0.759236063803057
"hepatitis",0.764193029193029,0.747495837495837,0.757657157657158,0.833722527472528,0.833722527472528,0.805138125763126
"ionosphere",0.858007141300339,0.876858776150759,0.876858776150759,0.874304710289085,0.864483231123942,0.902319865418616
"labor",0.883888888888889,0.870987654320988,0.870987654320988,0.884259259259259,0.884259259259259,0.870987654320988
"liver-disorders",0.58627848105456,0.605666056735024,0.613812861719821,0.576202995543342,0.580164781148442,0.657924568748944
"mushroom",0.990015877601999,0.990484645818067,0.990484645818067,0.993345981423287,0.993345981423287,1
"sick",0.979305701170886,0.978832794934971,0.978572583768151,0.977568128482217,0.977254889309561,0.978536512350715
"sonar",0.607789079112608,0.64552625493415,0.645029991937887,0.624582762929733,0.639175157242384,0.648722741038918
"tic-tac-toe",0.783941311661311,0.803527508831364,0.816455918619777,0.814706588848772,0.816693603056198,0.925782394566038
"vote",0.947900456724694,0.951994678181998,0.95442596782259,0.949519207475694,0.949519207475694,0.958654624818831
"Average",0.795041863649214,0.80341903189373,0.807818043272566,0.81406229378191,0.816083814424311,0.833003025678544
"RankSum",68,53,48,48,41,30
