"","3","5","10","20","30","PureDT"
"australian",0.84098539057274,0.852707652742482,0.854164215270581,0.854124763702836,0.857018424784042,0.835225059658043
"breast",0.93722627550393,0.921449717729444,0.915851548379954,0.924255171246404,0.922673606469717,0.928077699614001
"breastcancer",0.685470071293813,0.667955317995736,0.693938297765048,0.669197116051467,0.665232423822424,0.678808943888135
"diabetes",0.698261713880897,0.701141000405752,0.696964376427182,0.696700506490805,0.693083292437583,0.705648349035834
"heart",0.722339584189288,0.715285122604088,0.744964490664524,0.734675231818132,0.731394397709711,0.749025589532828
"hepatitis",0.80198143174952,0.804605510150769,0.794549154458021,0.80202878241384,0.785957353842411,0.81054559957145
"ionosphere",0.810401841862637,0.77340395071833,0.755925683877535,0.743993424632857,0.740207521302004,0.861952055763517
"labor",0.791953262786596,0.791953262786596,0.756904761904762,0.696130952380952,0.696130952380952,0.799051878061166
"liver-disorders",0.53510982246681,0.53154154575957,0.513755122854851,0.524303969948471,0.528456883396802,0.60171878736817
"mushroom",0.999261201216587,0.999015186096752,0.999015186096752,0.997661405928355,0.997661405928355,1
"sick",0.978257698177408,0.978255131418065,0.978255131418065,0.978056193302015,0.978056193302015,0.978310615393095
"sonar",0.610772826556309,0.587092076201281,0.597447847840179,0.592956368155664,0.610158771663486,0.630816239189237
"tic-tac-toe",0.761509837637671,0.783829834225543,0.782934397452931,0.767962143710163,0.765718231225233,0.884692809533611
"vote",0.950207359430938,0.952486033138183,0.952317299471696,0.954582722927697,0.954582722927697,0.955438562079861
"Average",0.794552736951796,0.790051524426614,0.788356250991577,0.78118776805069,0.780452298656602,0.815665156334925
"RankSum",44,50,52,57,62,22
