"","RuleMatchCount-PART x RuleMatchWeighted-PART","RuleMatchCount-PART x RuleMatchWeighted-PART p-value","RuleMatchCount-PART x RuleMatchCount-J48","RuleMatchCount-PART x RuleMatchCount-J48 p-value","RuleMatchCount-PART x RuleMatchWeighted-J48","RuleMatchCount-PART x RuleMatchWeighted-J48 p-value","RuleMatchCount-PART x RuleMatchCount-DT","RuleMatchCount-PART x RuleMatchCount-DT p-value","RuleMatchCount-PART x PureJ48","RuleMatchCount-PART x PureJ48 p-value","RuleMatchCount-PART x PureDT","RuleMatchCount-PART x PureDT p-value","RuleMatchCount-PART x PurePART","RuleMatchCount-PART x PurePART p-value","RuleMatchCount-PART x RuleMatchCount-Rand","RuleMatchCount-PART x RuleMatchCount-Rand p-value","RuleMatchCount-PART x RuleMatchWeighted-Rand","RuleMatchCount-PART x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-PART x RuleMatchCount-J48","RuleMatchWeighted-PART x RuleMatchCount-J48 p-value","RuleMatchWeighted-PART x RuleMatchWeighted-J48","RuleMatchWeighted-PART x RuleMatchWeighted-J48 p-value","RuleMatchWeighted-PART x RuleMatchCount-DT","RuleMatchWeighted-PART x RuleMatchCount-DT p-value","RuleMatchWeighted-PART x PureJ48","RuleMatchWeighted-PART x PureJ48 p-value","RuleMatchWeighted-PART x PureDT","RuleMatchWeighted-PART x PureDT p-value","RuleMatchWeighted-PART x PurePART","RuleMatchWeighted-PART x PurePART p-value","RuleMatchWeighted-PART x RuleMatchCount-Rand","RuleMatchWeighted-PART x RuleMatchCount-Rand p-value","RuleMatchWeighted-PART x RuleMatchWeighted-Rand","RuleMatchWeighted-PART x RuleMatchWeighted-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-J48","RuleMatchCount-J48 x RuleMatchWeighted-J48 p-value","RuleMatchCount-J48 x RuleMatchCount-DT","RuleMatchCount-J48 x RuleMatchCount-DT p-value","RuleMatchCount-J48 x PureJ48","RuleMatchCount-J48 x PureJ48 p-value","RuleMatchCount-J48 x PureDT","RuleMatchCount-J48 x PureDT p-value","RuleMatchCount-J48 x PurePART","RuleMatchCount-J48 x PurePART p-value","RuleMatchCount-J48 x RuleMatchCount-Rand","RuleMatchCount-J48 x RuleMatchCount-Rand p-value","RuleMatchCount-J48 x RuleMatchWeighted-Rand","RuleMatchCount-J48 x RuleMatchWeighted-Rand p-value","RuleMatchWeighted-J48 x RuleMatchCount-DT","RuleMatchWeighted-J48 x RuleMatchCount-DT p-value","RuleMatchWeighted-J48 x PureJ48","RuleMatchWeighted-J48 x PureJ48 p-value","RuleMatchWeighted-J48 x PureDT","RuleMatchWeighted-J48 x PureDT p-value","RuleMatchWeighted-J48 x PurePART","RuleMatchWeighted-J48 x PurePART p-value","RuleMatchWeighted-J48 x RuleMatchCount-Rand","RuleMatchWeighted-J48 x RuleMatchCount-Rand p-value","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand","RuleMatchWeighted-J48 x RuleMatchWeighted-Rand p-value","RuleMatchCount-DT x PureJ48","RuleMatchCount-DT x PureJ48 p-value","RuleMatchCount-DT x PureDT","RuleMatchCount-DT x PureDT p-value","RuleMatchCount-DT x PurePART","RuleMatchCount-DT x PurePART p-value","RuleMatchCount-DT x RuleMatchCount-Rand","RuleMatchCount-DT x RuleMatchCount-Rand p-value","RuleMatchCount-DT x RuleMatchWeighted-Rand","RuleMatchCount-DT x RuleMatchWeighted-Rand p-value","PureJ48 x PureDT","PureJ48 x PureDT p-value","PureJ48 x PurePART","PureJ48 x PurePART p-value","PureJ48 x RuleMatchCount-Rand","PureJ48 x RuleMatchCount-Rand p-value","PureJ48 x RuleMatchWeighted-Rand","PureJ48 x RuleMatchWeighted-Rand p-value","PureDT x PurePART","PureDT x PurePART p-value","PureDT x RuleMatchCount-Rand","PureDT x RuleMatchCount-Rand p-value","PureDT x RuleMatchWeighted-Rand","PureDT x RuleMatchWeighted-Rand p-value","PurePART x RuleMatchCount-Rand","PurePART x RuleMatchCount-Rand p-value","PurePART x RuleMatchWeighted-Rand","PurePART x RuleMatchWeighted-Rand p-value","RuleMatchCount-Rand x RuleMatchWeighted-Rand","RuleMatchCount-Rand x RuleMatchWeighted-Rand p-value"
"Accuracy","< (02x12)","0.00694669816590924","t (07x07)","1","> (08x06)","0.900085797418725","< (04x10)","0.0900820575789648","< (04x10)","0.0686801607303541","< (04x10)","0.0686801607303541","< (04x10)","0.0516462183078041","< (03x11)","0.0383005285343547","< (04x10)","0.116551957746077","> (11x02)","0.0426947379917663","> (12x02)","0.0170556294065931","> (08x06)","0.660346099350424","< (06x08)","0.70642711574737","t (07x07)","0.753610350301361","< (05x09)","0.530158014945287","> (08x06)","0.451258974150342","> (09x05)","0.258486052233535","> (08x06)","0.451258974150342","< (04x10)","0.148778617087727","< (02x12)","0.00837384906674997","< (03x11)","0.0445533169117585","< (02x12)","0.0143538943534938","< (02x12)","0.0516462183078041","< (04x10)","0.0686801607303541","< (04x10)","0.102639775576908","< (02x11)","0.00791545667737088","< (02x12)","0.0143538943534938","< (02x12)","0.0047289220599092","< (03x11)","0.0383005285343547","< (03x11)","0.0201936704010222","t (07x07)","0.949944493522","> (08x06)","0.615518503675301","t (07x07)","1","< (06x07)","0.888840680809476","> (09x05)","0.660346099350424","< (05x08)","0.888840680809476","< (05x08)","1","> (08x06)","0.660346099350424","> (10x03)","0.0806128145385549","< (05x08)","0.184235113180511","> (08x06)","0.850618403625297","> (11x02)","0.0692129715131915","> (08x06)","0.379471360411207","> (12x02)","0.0238241460165172","> (09x04)","0.44204635960573"
"PrecisionWeightedAvg","< (04x10)","0.102639775576908","t (07x07)","0.572081696065726","> (08x06)","0.315174424989568","< (04x10)","0.258486052233535","< (04x10)","0.167253563317042","< (06x08)","0.801732212656982","< (06x08)","0.451258974150342","< (04x10)","0.209286554781767","< (06x08)","0.530158014945287","> (11x03)","0.0787915035643527","> (11x03)","0.0383005285343547","< (05x09)","0.753610350301361","t (07x07)","1","> (10x04)","0.102639775576908","> (08x06)","0.451258974150342","> (09x05)","0.530158014945287","> (09x05)","0.285881444542875","> (10x04)","0.0900820575789648","< (04x10)","0.131904094905011","< (03x11)","0.0516462183078041","< (05x09)","0.187401192001721","< (04x10)","0.0787915035643527","< (02x12)","0.0280078166969702","< (06x08)","0.315174424989568","< (03x11)","0.0201936704010222","< (03x10)","0.0174961371837677","< (04x10)","0.0787915035643527","< (04x10)","0.0280078166969702","< (02x12)","0.00837384906674997","< (04x10)","0.0328100197002589","> (08x06)","0.414446222764492","> (09x05)","0.209286554781767","> (09x05)","0.285881444542875","t (07x07)","1","> (09x05)","0.379471360411207","> (08x05)","0.2634941841412","> (08x05)","0.401678166469773","< (06x08)","0.572081696065726","> (11x03)","0.131904094905011","< (03x10)","0.107973208797929","< (05x09)","0.258486052233535","t (07x07)","1","< (04x10)","0.187401192001721","> (09x05)","0.451258974150342","> (11x03)","0.116551957746077"
"RecallWeightedAvg","< (02x12)","0.00694669816590924","t (07x07)","1","> (08x06)","0.900085797418725","< (04x10)","0.0900820575789648","< (04x10)","0.0686801607303541","< (04x10)","0.0686801607303541","< (04x10)","0.0516462183078041","< (03x11)","0.0383005285343547","< (04x10)","0.116551957746077","> (11x02)","0.0426947379917663","> (12x02)","0.0170556294065931","> (08x06)","0.660346099350424","< (06x08)","0.70642711574737","t (07x07)","0.753610350301361","< (05x09)","0.530158014945287","> (08x06)","0.451258974150342","> (09x05)","0.258486052233535","> (08x06)","0.451258974150342","< (04x10)","0.148778617087727","< (02x12)","0.00837384906674997","< (03x11)","0.0445533169117585","< (02x12)","0.0143538943534938","< (02x12)","0.0516462183078041","< (04x10)","0.0686801607303541","< (04x10)","0.102639775576908","< (02x11)","0.00791545667737088","< (02x12)","0.0143538943534938","< (02x12)","0.0047289220599092","< (03x11)","0.0383005285343547","< (03x11)","0.0201936704010222","t (07x07)","0.949944493522","> (08x06)","0.615518503675301","t (07x07)","1","< (06x07)","0.888840680809476","> (09x05)","0.660346099350424","< (05x08)","0.888840680809476","< (05x08)","1","> (08x06)","0.660346099350424","> (10x03)","0.0806128145385549","< (05x08)","0.184235113180511","> (08x06)","0.850582029791745","> (11x02)","0.0692129715131915","> (08x06)","0.379471360411207","> (12x02)","0.0238241460165172","> (09x04)","0.44204635960573"
"FMeasureWeightedAvg","< (03x11)","0.0280078166969702","< (06x08)","0.949944493522","> (09x05)","0.451258974150342","< (05x09)","0.167253563317042","< (04x10)","0.0516462183078041","< (04x10)","0.0596604735623143","< (04x10)","0.0383005285343547","< (04x10)","0.0596604735623143","< (04x10)","0.102639775576908","> (11x03)","0.0787915035643527","> (13x01)","0.0100578003666","> (08x06)","0.753610350301361","< (05x09)","0.379471360411207","< (05x09)","0.801732212656982","< (04x10)","0.148778617087727","< (06x08)","0.801732212656982","> (10x04)","0.285881444542875","> (11x03)","0.0516462183078041","< (05x09)","0.258486052233535","< (03x11)","0.0383005285343547","< (03x11)","0.0516462183078041","< (02x12)","0.0201936704010222","< (02x12)","0.0596604735623143","< (04x10)","0.187401192001721","< (04x10)","0.116551957746077","< (03x11)","0.00837384906674997","< (02x12)","0.0120369481070948","< (02x12)","0.00574194154874128","< (03x11)","0.0143538943534938","< (03x11)","0.0143538943534938","t (07x07)","0.949944493522","t (07x07)","0.801732212656982","t (07x07)","0.850618403625297","< (06x08)","0.70642711574737","> (08x06)","0.70642711574737","> (07x06)","0.624700399444191","> (08x05)","0.726767806199101","> (09x05)","0.660346099350424","> (10x04)","0.0787915035643527","< (03x10)","0.0360316862182336","< (06x08)","0.660346099350424","> (12x02)","0.0383005285343547","> (10x04)","0.315174424989568","> (12x02)","0.0143538943534938","> (10x04)","0.131904094905011"
"Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wins c1","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","4","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","3","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","1","RuleMatchWeighted-PART","3","RuleMatchWeighted-PART","4","RuleMatchCount-J48","4","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","1","RuleMatchCount-DT","3","RuleMatchCount-DT","1","RuleMatchCount-DT","0","RuleMatchCount-DT","4","PureJ48","2","PureJ48","2","PureJ48","3","PureJ48","4","PureDT","0","PureDT","2","PureDT","3","PurePART","3","PurePART","4","RuleMatchCount-Rand","4"
"wins c2","RuleMatchWeighted-PART","4","RuleMatchCount-J48","1","RuleMatchWeighted-J48","0","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","1","PureJ48","3","PureDT","1","PurePART","3","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","RuleMatchCount-DT","4","PureJ48","4","PureDT","4","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","3","RuleMatchWeighted-Rand","0","PureDT","2","PurePART","2","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","PurePART","4","RuleMatchCount-Rand","2","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
"ties","Tie","0","Tie","3","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","2","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","3","Tie","1","Tie","3","Tie","1","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","1","Tie","0","Tie","0","Tie","0"
"wins c1 sig","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","2","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","RuleMatchCount-DT","0","PureJ48","0","PureJ48","0","PureJ48","0","PureJ48","0","PureDT","0","PureDT","0","PureDT","1","PurePART","0","PurePART","3","RuleMatchCount-Rand","0"
"win c2 sig","RuleMatchWeighted-PART","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","0","PureDT","0","PurePART","1","RuleMatchCount-Rand","2","RuleMatchWeighted-Rand","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureJ48","3","PureDT","2","PurePART","3","RuleMatchCount-Rand","1","RuleMatchWeighted-Rand","0","RuleMatchCount-DT","1","PureJ48","4","PureDT","3","PurePART","4","RuleMatchCount-Rand","4","RuleMatchWeighted-Rand","4","PureJ48","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PureDT","0","PurePART","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","PurePART","1","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchCount-Rand","0","RuleMatchWeighted-Rand","0","RuleMatchWeighted-Rand","0"
